Year,Energy Category,Energy Type,Final Energy Demand,CumSumEnergy,RE Share
2015,Clean Power,PV,739.1937237,739.1937237,
2020,Clean Power,PV,2941.176469,2941.176469,
2025,Clean Power,PV,11996.38373,11996.38373,
2030,Clean Power,PV,21814.22317,21814.22317,
2035,Clean Power,PV,30652.20634,30652.20634,
2040,Clean Power,PV,37867.66027,37867.66027,
2045,Clean Power,PV,42309.84766,42309.84766,
2050,Clean Power,PV,45314.37775,45314.37775,
2015,Clean Power,Solar thermal power plants,28.18031797,767.3740417,
2020,Clean Power,Solar thermal power plants,95.92472949,3037.101198,
2025,Clean Power,Solar thermal power plants,952.226006,12948.60974,
2030,Clean Power,Solar thermal power plants,5313.084451,27127.30762,
2035,Clean Power,Solar thermal power plants,10145.98974,40798.19608,
2040,Clean Power,Solar thermal power plants,13814.91441,51682.57468,
2045,Clean Power,Solar thermal power plants,16495.46522,58805.31288,
2050,Clean Power,Solar thermal power plants,18712.23069,64026.60844,
2015,Clean Power,Geothermal Power,241.1815512,1008.555593,
2020,Clean Power,Geothermal Power,342.8134645,3379.914663,
2025,Clean Power,Geothermal Power,958.3515078,13906.96125,
2030,Clean Power,Geothermal Power,2630.455518,29757.76314,
2035,Clean Power,Geothermal Power,4217.60648,45015.80256,
2040,Clean Power,Geothermal Power,5482.373135,57164.94781,
2045,Clean Power,Geothermal Power,6515.28651,65320.59939,
2050,Clean Power,Geothermal Power,7640.750708,71667.35915,
2015,Clean Power,Wind,2512.335306,3520.890898,
2020,Clean Power,Wind,4681.308647,8061.223309,
2025,Clean Power,Wind,13645.88078,27552.84203,
2030,Clean Power,Wind,26256.64023,56014.40337,
2035,Clean Power,Wind,36767.23007,81783.03263,
2040,Clean Power,Wind,42766.62872,99931.57653,
2045,Clean Power,Wind,46483.09871,111803.6981,
2050,Clean Power,Wind,49578.44868,121245.8078,
2015,Clean Power,Ocean energy,3.027885229,3523.918784,
2020,Clean Power,Ocean energy,6.394981966,8067.618291,
2025,Clean Power,Ocean energy,124.4299681,27677.272,
2030,Clean Power,Ocean energy,487.0001511,56501.40352,
2035,Clean Power,Ocean energy,1112.39223,82895.42486,
2040,Clean Power,Ocean energy,1705.208327,101636.7849,
2045,Clean Power,Ocean energy,2265.819635,114069.5177,
2050,Clean Power,Ocean energy,2708.268412,123954.0762,
2015,Clean Power,Hydro Power,11656.81851,15180.73729,
2020,Clean Power,Hydro Power,13028.51797,21096.13627,
2025,Clean Power,Hydro Power,13697.35328,41374.62528,
2030,Clean Power,Hydro Power,13399.00773,69900.41125,
2035,Clean Power,Hydro Power,12757.07343,95652.49829,
2040,Clean Power,Hydro Power,11669.08565,113305.8705,
2045,Clean Power,Hydro Power,11229.02488,125298.5426,
2050,Clean Power,Hydro Power,11467.29888,135421.3751,
2015,Clean Power,Biomass Power,1410.544831,16591.28212,
2020,Clean Power,Biomass Power,2494.74005,23590.87632,
2025,Clean Power,Biomass Power,5129.543913,46504.1692,
2030,Clean Power,Biomass Power,6973.015963,76873.42721,
2035,Clean Power,Biomass Power,7209.287167,102861.7855,
2040,Clean Power,Biomass Power,7096.481192,120402.3517,
2045,Clean Power,Biomass Power,7218.773219,132517.3158,
2050,Clean Power,Biomass Power,7543.847842,142965.223,
2015,Clean Power,Hydrogen Power,0,16591.28212,0.228107806
2020,Clean Power,Hydrogen Power,1.333550742,23592.20987,0.291642282
2025,Clean Power,Hydrogen Power,103.0059496,46607.17514,0.506365866
2030,Clean Power,Hydrogen Power,781.2106997,77654.63791,0.728066137
2035,Clean Power,Hydrogen Power,2018.320675,104880.1061,0.861430863
2040,Clean Power,Hydrogen Power,4179.167435,124581.5191,0.940894702
2045,Clean Power,Hydrogen Power,6009.270156,138526.586,0.979955259
2050,Clean Power,Hydrogen Power,7189.227036,150154.45,1
2015,Clean Power,Nuclear,7628.561971,24219.84409,
2020,Clean Power,Nuclear,8851.746127,32443.95599,
2025,Clean Power,Nuclear,6888.44669,53495.62183,
2030,Clean Power,Nuclear,4390.127767,82044.76568,
2035,Clean Power,Nuclear,2233.902649,107114.0088,
2040,Clean Power,Nuclear,439.8945325,125021.4137,
2045,Clean Power,Nuclear,27.21993767,138553.8059,
2050,Clean Power,Nuclear,0,150154.45,
2015,Fossil Fuels,Gas,77895.40592,102115.25,
2020,Fossil Fuels,Gas,84097.14437,116541.1004,
2025,Fossil Fuels,Gas,77979.48174,131475.1036,
2030,Fossil Fuels,Gas,61457.04698,143501.8127,
2035,Fossil Fuels,Gas,43269.71315,150383.7219,
2040,Fossil Fuels,Gas,23926.14888,148947.5626,
2045,Fossil Fuels,Gas,8379.760286,146933.5662,
2050,Fossil Fuels,Gas,0.006666667,150154.4567,
2015,Fossil Fuels,Coal & Lignite,68209.80993,170325.0599,
2020,Fossil Fuels,Coal & Lignite,62487.09505,179028.1954,
2025,Fossil Fuels,Coal & Lignite,38166.40858,169641.5122,
2030,Fossil Fuels,Coal & Lignite,15474.24524,158976.0579,
2035,Fossil Fuels,Coal & Lignite,3267.629159,153651.3511,
2040,Fossil Fuels,Coal & Lignite,943.6866667,149891.2492,
2045,Fossil Fuels,Coal & Lignite,337.0333333,147270.5995,
2050,Fossil Fuels,Coal & Lignite,0.006666667,150154.4633,
2015,Fossil Fuels,Oil & Diesel,125727.7601,296052.82,0.170296811
2020,Fossil Fuels,Oil & Diesel,125446.9343,304475.1297,0.184626043
2025,Fossil Fuels,Oil & Diesel,83290.07785,252931.59,0.295657859
2030,Fossil Fuels,Oil & Diesel,43197.14108,202173.199,0.461848484
2035,Fossil Fuels,Oil & Diesel,16427.12202,170078.4731,0.65712689
2040,Fossil Fuels,Oil & Diesel,5054.164976,154945.4142,0.818878806
2045,Fossil Fuels,Oil & Diesel,637.6833333,147908.2829,0.941718149
2050,Fossil Fuels,Oil & Diesel,0.006666667,150154.47,0.999999806
2015,Clean Heat,Solar Heat,1244.92,297297.74,
2020,Clean Heat,Solar Heat,2264.83,306739.9597,
2025,Clean Heat,Solar Heat,7005.48,259937.07,
2030,Clean Heat,Solar Heat,13171.54,215344.739,
2035,Clean Heat,Solar Heat,17249.32,187327.7931,
2040,Clean Heat,Solar Heat,19886.94,174832.3542,
2045,Clean Heat,Solar Heat,21866.99,169775.2729,
2050,Clean Heat,Solar Heat,23083.47,173237.94,
2015,Clean Heat,Biomass,40502.15,337799.89,
2020,Clean Heat,Biomass,41937.86,348677.8197,
2025,Clean Heat,Biomass,43378.87,303315.94,
2030,Clean Heat,Biomass,41205.55,256550.289,
2035,Clean Heat,Biomass,36955.51,224283.3031,
2040,Clean Heat,Biomass,32215.86,207048.2142,
2045,Clean Heat,Biomass,26179.87,195955.1429,
2050,Clean Heat,Biomass,20310.26,193548.2,
2015,Clean Heat,Geothermal,362.72,338162.61,
2020,Clean Heat,Geothermal,792.65,349470.4697,
2025,Clean Heat,Geothermal,2730.35,306046.29,
2030,Clean Heat,Geothermal,5685.63,262235.919,
2035,Clean Heat,Geothermal,8410.38,232693.6831,
2040,Clean Heat,Geothermal,10587.3,217635.5142,
2045,Clean Heat,Geothermal,13011.62,208966.7629,
2050,Clean Heat,Geothermal,15380.83,208929.03,
2015,Clean Heat,H Process,0,338162.61,
2020,Clean Heat,H Process,0,349470.4697,
2025,Clean Heat,H Process,120.51,306166.8,
2030,Clean Heat,H Process,1535.16,263771.079,
2035,Clean Heat,H Process,3732.02,236425.7031,
2040,Clean Heat,H Process,8157.56,225793.0742,
2045,Clean Heat,H Process,12020,220986.7629,
2050,Clean Heat,H Process,12258.23,221187.26,
2015,Clean Heat,RE district heat,563.11,338725.72,
2020,Clean Heat,RE district heat,1488.3,350958.7697,
2025,Clean Heat,RE district heat,4139.04,310305.84,
2030,Clean Heat,RE district heat,6886.07,270657.149,
2035,Clean Heat,RE district heat,9246.73,245672.4331,
2040,Clean Heat,RE district heat,10958.97,236752.0442,
2045,Clean Heat,RE district heat,12133.2,233119.9629,
2050,Clean Heat,RE district heat,13092,234279.26,
2015,Clean Fuels,H Fuel,0,338725.72,
2020,Clean Fuels,H Fuel,16.27,350975.0397,
2025,Clean Fuels,H Fuel,826.87,311132.71,
2030,Clean Fuels,H Fuel,3029.06,273686.209,
2035,Clean Fuels,H Fuel,5130.19,250802.6231,
2040,Clean Fuels,H Fuel,6307.99,243060.0342,
2045,Clean Fuels,H Fuel,6763.87,239883.8329,
